title,summery,news
کاراته قهرمانی آسیا| ایران با 12 مدال سوم شد/ اولین قهرمانی قزاقستان, تیم ملی کاراته بانوان و آقایان کشورمان با کسب ۱۲ مدال رنگارنگ برسکوی سوم آسیا ایستاد. ,ایمان عالمی در گفت‌وگو با خبرنگار ورزشی خبرگزاری تسنیم، درباره مشکلات تیم فوتبال استقلال در آستانه شروع مسابقات لیگ برتر فوتبال، اظهار داشت: همه می‌دانند استقلال در سال‌های اخیر مشکلات مدیریتی داشته است. حق طبیعی هواداران است که تیم‌شان بتواند پیش از آغاز فصل شرایط خوبی برای یارگیری و آماده‌سازی داشته باشد، اما همیشه در این مقطع فصل، تغییرات مدیریتی اتفاق می‌افتد که روی روند تیم تأثیرگذار می‌شود. باید این درد درمان شود تا هر سال بدتر شود.«باشگاه استقلال شرایط خوبی ندارد و نتوانسته است بازیکنان مدنظر سرمربی را جذب کند.»، وی با بیان این جمله افزود: علی خطیر به تازگی آمده است و می‌خواهد مشکلات را مدیریت کند. تا جایی که می‌دانم استقلال 600 میلیارد تومان بدهی دارد و وضعیت این تیم سخت و دشوار است. تجربه‌ام به من می‌گوید شرایط استقلال خوب پیش نمی‌رود و اگر مسابقات شروع شود این روند باز هم ادامه خواهد داشت. نبود بازیکن و مشکلات مالی اجازه نمی‌دهد استقلال آنطور که باید و شاید عملکرد موفقی داشته باشد.پیشکسوت باشگاه استقلال در مورد بحث کاهش قرارداد بازیکنان استقلال گفت: بازیکنان قرارداد حرفه‌ای می‌بندند. مدیری تصمیم گرفت که این مدلی قرارداد ببندد و حالا که بحث کاهش قرارداد مطرح شده است، بازیکنان مقصر نیستند، ولی به خاطر شرایط باشگاه، دو طرف باید تصمیم درستی بگیرند. حق بازیکن است که باشگاه به تعهداتش در قبال او عمل کند. این وسط یکسری‌ها وارد می‌شوند و بین مدیرعامل و بازیکن قرار می‌گیرند که دودش به چشم دو طرف می‌رود. بازیکن قراردادش را حرفه‌ای امضا کرده و تصمیم با خودش است، ولی در مجموع باید کمک کنند که این مرحله طی شود.انتهای پیام/
ردپای سوئد در عدم بازی محمد محبی برای روستوف روسیه, دلیل اصلی عدم ثبت نام محمد محبی در فدراسیون فوتبال روسیه به عنوان بازیکن جدید تیم روستوف فاش شد. ,
بازدید مسئولان سازمان لیگ از ورزشگاه تختی/ میزبانی صنعت نفت از استقلال در آبادان, مسئولان سازمان لیگ فردا با حضور در آبادان آخرین شرایط ورزشگاه تختی را بررسی خواهند کرد. ,به گزارش خبرنگار ورزشی خبرگزاری تسنیم، ورزشگاه تختی آبادان یکی از ورزشگاه‌هایی است که طبق اعلام سازمان لیگ باید ایراداتش تا قبل از شروع لیگ بیست‌وسوم برطرف شود، در غیر این صورت صنعت نفت باید در ورزشگاه‌ دیگری از حریفانش میزبانی کند. در همین راستا مسئولان پالایشگاه آبادان به‌عنوان متولی این ورزشگاه با معرفی پیمانکار درصدد برطرف کردن ایرادات ورزشگاه تختی هستند و با توجه به روند انجام کار در این ورزشگاه قدیمی خوزستان به نظر می‌رسد صنعت نفت مشکلی برای میزبانی در هفته نخست مقابل استقلال نخواهد داشت. در حال حاضر اکثر ایرادات و مشکلات ورزشگاه از جمله رختکن‌ها و مقاوم‌سازی سکوها برطرف و اسناد آن به سازمان لیگ ارائه شده است. وضعیت چمن و نور ورزشگاه مشکلی ندارد و تنها ایراد موجود درباره ورزشگاه تختی، مشکل پارکینگ این مجموعه است که در حین برگزاری مسابقات، محوطه اطراف ورزشگاه را با مشکلات زیادی روبه‌رو می‌کند.برهمین اساس با توجه به اینکه از شروع لیگ بیست‌وسوم که از تاریخ 12 مرداد ماه خواهد بود تا تعطیلی لیگ در فیفا‌دی شهریور ماه صنعت نفت تنها دو دیدار میزبان خواهد بود، سازمان لیگ فرصت پنج هفته‌ای به این باشگاه داده است تا مشکل پارکینگ ورزشگاه هم برطرف و درباره آن تصمیم‌گیری شود. قرار است مسئولان سازمان لیگ فردا (یکشنبه - 2 مرداد ماه) از آخرین شرایط ورزشگاه تختی آبادان بازدید کنند.انتهای پیام/
نگاهی به مشکلات نکونام برای اولین بازی لیگ/ «ناقص» مثل استقلال!, سرمربی تیم فوتبال استقلال برای مشخص کردن ترکیب تیمش در آستانه آغاز بیست‌وسومین دوره لیگ برتر دچار مشکلات عدیده‌ای شده است. ,به گزارش خبرنگار ورزشی خبرگزاری تسنیم، بیست‌وسومین دوره لیگ برتر فوتبال در حالی از 12 مرداد آغاز می‌شود که استقلال همچنان با تیمی ناقص و البته کمبود بازیکن تمریناتش را پیگیری می‌کند. باشگاه استقلال تاکنون مهرداد محمدی، آرمین سهرابیان، ایمان سلیمی، آریا برزگر و محمدرضا خالدآبادی را جذب کرده است که در این بین محمدی و سهرابیان مصدوم هستند. محمدی نزدیک به یک هفته است با استقلال تمرین گروهی نداشته است و احتمال دارد بازی با صنعت نفت آبادان را از دست بدهد. از طرفی، تکلیف عارف غلامی و جذب بازیکنانی چون تورس، امیرحسین حسین‌زاده و ... مشخص نیست.در خط دفاعی، محمدحسین مرادمند، ایمان سلیمی و آرمین سهرابیان حضور دارند که سهرابیان دچار مصدومیت است. جعفر سلمانی و صالح حردانی احتمالاً دفاع‌های چپ و راست استقلال را تشکیل می‌دهند. با توجه به کمبود بازیکن، این احتمال می‌رود که یامگا به‌عنوان وینگر راست به میدان برود.استقلال در خط میانی، آرش رضاوند، روزبه چشمی، زبیر نیک‌نفس، مهدی مهدی‌پور، سعید مهری، امید حامدی‌فر و محمدحسین زواری را در اختیار دارد. مهری به تازگی به تمرینات استقلال بازگشته و حامدی‌فر نیز درخواست جدایی داده است.در پست وینگر، مهرداد محمدی مصدوم است و بازیکن جوانی مثل امیرعلی صادقی تنها گزینه باقیمانده نکونام به شمار می‌آید. در پست وینگر چپ، ابوالفضل جلالی می‌تواند گزینه باشد که البته خصوصیات او بیشتر دفاع چپ است تا وینگر چپ.آخرین پست مربوط به مهاجم است. آرمان رمضانی در لیست خروج قرار گرفته است و سجاد شهباززاده نیز احتمالاً جدا خواهد شد. تنها گزینه‌های باقیمانده ارسلان مطهری و پیمان بابایی هستند. به این دو نفر آریا برزگر اضافه شده که جز سهمیه‌های زیر 23 سال است.به گزارش تسنیم، باشگاه استقلال حتی اگر در روزهای آتی بازیکنانی را در پست‌های مختلف جذب کند، با توجه به زمان کم باقیمانده تا شروع مسابقات لیگ برتر، به احتمال زیاد دو سه هفته اول لیگ را از دست می‌دهد. این مسئله چالش‌های نکونام را بیشتر از گذشته کرده است.انتهای پیام/
تورنمنت فوتسال کافا| شکست امیدهای ایران مقابل تیم شماره 71 دنیا, تیم فوتسال زیر ۲۳ سال ایران در روز ابتدایی تورنمنت کافا، مغلوب تیم ملی ترکمنستان شد. ,به گزارش خبرنگار ورزشی خبرگزاری تسنیم، بیست‌وسومین دوره لیگ برتر فوتبال در حالی از 12 مرداد آغاز می‌شود که استقلال همچنان با تیمی ناقص و البته کمبود بازیکن تمریناتش را پیگیری می‌کند. باشگاه استقلال تاکنون مهرداد محمدی، آرمین سهرابیان، ایمان سلیمی، آریا برزگر و محمدرضا خالدآبادی را جذب کرده است که در این بین محمدی و سهرابیان مصدوم هستند. محمدی نزدیک به یک هفته است با استقلال تمرین گروهی نداشته است و احتمال دارد بازی با صنعت نفت آبادان را از دست بدهد. از طرفی، تکلیف عارف غلامی و جذب بازیکنانی چون تورس، امیرحسین حسین‌زاده و ... مشخص نیست.در خط دفاعی، محمدحسین مرادمند، ایمان سلیمی و آرمین سهرابیان حضور دارند که سهرابیان دچار مصدومیت است. جعفر سلمانی و صالح حردانی احتمالاً دفاع‌های چپ و راست استقلال را تشکیل می‌دهند. با توجه به کمبود بازیکن، این احتمال می‌رود که یامگا به‌عنوان وینگر راست به میدان برود.استقلال در خط میانی، آرش رضاوند، روزبه چشمی، زبیر نیک‌نفس، مهدی مهدی‌پور، سعید مهری، امید حامدی‌فر و محمدحسین زواری را در اختیار دارد. مهری به تازگی به تمرینات استقلال بازگشته و حامدی‌فر نیز درخواست جدایی داده است.در پست وینگر، مهرداد محمدی مصدوم است و بازیکن جوانی مثل امیرعلی صادقی تنها گزینه باقیمانده نکونام به شمار می‌آید. در پست وینگر چپ، ابوالفضل جلالی می‌تواند گزینه باشد که البته خصوصیات او بیشتر دفاع چپ است تا وینگر چپ.آخرین پست مربوط به مهاجم است. آرمان رمضانی در لیست خروج قرار گرفته است و سجاد شهباززاده نیز احتمالاً جدا خواهد شد. تنها گزینه‌های باقیمانده ارسلان مطهری و پیمان بابایی هستند. به این دو نفر آریا برزگر اضافه شده که جز سهمیه‌های زیر 23 سال است.به گزارش تسنیم، باشگاه استقلال حتی اگر در روزهای آتی بازیکنانی را در پست‌های مختلف جذب کند، با توجه به زمان کم باقیمانده تا شروع مسابقات لیگ برتر، به احتمال زیاد دو سه هفته اول لیگ را از دست می‌دهد. این مسئله چالش‌های نکونام را بیشتر از گذشته کرده است.انتهای پیام/
پاسخ شباب الاهلی به استقلال: متأسفیم، قایدی در امارات می‌ماند, باشگاه شباب الاهلی امارات در پاسخ به درخواست باشگاه استقلال اعلام کرد مهدی قایدی در فصل پیش رو در امارات بازی خواهد کرد. ,به گزارش خبرنگار ورزشی خبرگزاری تسنیم، بیست‌وسومین دوره لیگ برتر فوتبال در حالی از 12 مرداد آغاز می‌شود که استقلال همچنان با تیمی ناقص و البته کمبود بازیکن تمریناتش را پیگیری می‌کند. باشگاه استقلال تاکنون مهرداد محمدی، آرمین سهرابیان، ایمان سلیمی، آریا برزگر و محمدرضا خالدآبادی را جذب کرده است که در این بین محمدی و سهرابیان مصدوم هستند. محمدی نزدیک به یک هفته است با استقلال تمرین گروهی نداشته است و احتمال دارد بازی با صنعت نفت آبادان را از دست بدهد. از طرفی، تکلیف عارف غلامی و جذب بازیکنانی چون تورس، امیرحسین حسین‌زاده و ... مشخص نیست.در خط دفاعی، محمدحسین مرادمند، ایمان سلیمی و آرمین سهرابیان حضور دارند که سهرابیان دچار مصدومیت است. جعفر سلمانی و صالح حردانی احتمالاً دفاع‌های چپ و راست استقلال را تشکیل می‌دهند. با توجه به کمبود بازیکن، این احتمال می‌رود که یامگا به‌عنوان وینگر راست به میدان برود.استقلال در خط میانی، آرش رضاوند، روزبه چشمی، زبیر نیک‌نفس، مهدی مهدی‌پور، سعید مهری، امید حامدی‌فر و محمدحسین زواری را در اختیار دارد. مهری به تازگی به تمرینات استقلال بازگشته و حامدی‌فر نیز درخواست جدایی داده است.در پست وینگر، مهرداد محمدی مصدوم است و بازیکن جوانی مثل امیرعلی صادقی تنها گزینه باقیمانده نکونام به شمار می‌آید. در پست وینگر چپ، ابوالفضل جلالی می‌تواند گزینه باشد که البته خصوصیات او بیشتر دفاع چپ است تا وینگر چپ.آخرین پست مربوط به مهاجم است. آرمان رمضانی در لیست خروج قرار گرفته است و سجاد شهباززاده نیز احتمالاً جدا خواهد شد. تنها گزینه‌های باقیمانده ارسلان مطهری و پیمان بابایی هستند. به این دو نفر آریا برزگر اضافه شده که جز سهمیه‌های زیر 23 سال است.به گزارش تسنیم، باشگاه استقلال حتی اگر در روزهای آتی بازیکنانی را در پست‌های مختلف جذب کند، با توجه به زمان کم باقیمانده تا شروع مسابقات لیگ برتر، به احتمال زیاد دو سه هفته اول لیگ را از دست می‌دهد. این مسئله چالش‌های نکونام را بیشتر از گذشته کرده است.انتهای پیام/
افشاردوست: زمان درستی را برای استعفا انتخاب کردم/ کاری به حرف‌های عبادی‌پور ندارم, مربی پیشین تیم ملی والیبال گفت: حس می‌کنم زمان درستی را برای کناره‌گیری انتخاب کردم و امیدوارم شرایط تیم ملی در آینده بهتر شود. ,به گزارش خبرنگار ورزشی خبرگزاری تسنیم، بیست‌وسومین دوره لیگ برتر فوتبال در حالی از 12 مرداد آغاز می‌شود که استقلال همچنان با تیمی ناقص و البته کمبود بازیکن تمریناتش را پیگیری می‌کند. باشگاه استقلال تاکنون مهرداد محمدی، آرمین سهرابیان، ایمان سلیمی، آریا برزگر و محمدرضا خالدآبادی را جذب کرده است که در این بین محمدی و سهرابیان مصدوم هستند. محمدی نزدیک به یک هفته است با استقلال تمرین گروهی نداشته است و احتمال دارد بازی با صنعت نفت آبادان را از دست بدهد. از طرفی، تکلیف عارف غلامی و جذب بازیکنانی چون تورس، امیرحسین حسین‌زاده و ... مشخص نیست.در خط دفاعی، محمدحسین مرادمند، ایمان سلیمی و آرمین سهرابیان حضور دارند که سهرابیان دچار مصدومیت است. جعفر سلمانی و صالح حردانی احتمالاً دفاع‌های چپ و راست استقلال را تشکیل می‌دهند. با توجه به کمبود بازیکن، این احتمال می‌رود که یامگا به‌عنوان وینگر راست به میدان برود.استقلال در خط میانی، آرش رضاوند، روزبه چشمی، زبیر نیک‌نفس، مهدی مهدی‌پور، سعید مهری، امید حامدی‌فر و محمدحسین زواری را در اختیار دارد. مهری به تازگی به تمرینات استقلال بازگشته و حامدی‌فر نیز درخواست جدایی داده است.در پست وینگر، مهرداد محمدی مصدوم است و بازیکن جوانی مثل امیرعلی صادقی تنها گزینه باقیمانده نکونام به شمار می‌آید. در پست وینگر چپ، ابوالفضل جلالی می‌تواند گزینه باشد که البته خصوصیات او بیشتر دفاع چپ است تا وینگر چپ.آخرین پست مربوط به مهاجم است. آرمان رمضانی در لیست خروج قرار گرفته است و سجاد شهباززاده نیز احتمالاً جدا خواهد شد. تنها گزینه‌های باقیمانده ارسلان مطهری و پیمان بابایی هستند. به این دو نفر آریا برزگر اضافه شده که جز سهمیه‌های زیر 23 سال است.به گزارش تسنیم، باشگاه استقلال حتی اگر در روزهای آتی بازیکنانی را در پست‌های مختلف جذب کند، با توجه به زمان کم باقیمانده تا شروع مسابقات لیگ برتر، به احتمال زیاد دو سه هفته اول لیگ را از دست می‌دهد. این مسئله چالش‌های نکونام را بیشتر از گذشته کرده است.انتهای پیام/
پس از جدایی قایدی، حضور حسین‌زاده در استقلال هم منتفی شد, وینگر پیشین تیم فوتبال استقلال اعلام کرد حضور او در جمع آبی‌پوشان منتفی شده است. ,به گزارش خبرگزاری تسنیم، پس از اینکه باشگاه شباب الاهلی امارات برای انتقال مهدی قایدی به استقلال پاسخ منفی داد، امیدهای این باشگاه به بازگشت امیرحسین حسین‌زاده وینگر سابق استقلال و فعلی شارلوای بلژیک بود.در همین راستا، حسین‌زاده با انتشار یک استوری در صفحه شخصی‌اش اعلام کرد با وجود علاقه زیاد برای بازگشت به استقلال، به دلیل عدم توافق دو باشگاه حضورش در این تیم منتفی شده است. با عدم حضور قایدی و حسین‌زاده در استقلال، شرایط کار برای جواد نکونام سخت‌ و سخت‌تر شد.انتهای پیام/
کاراته قهرمانی آسیا| نهمین قهرمانی کومیته تیمی با شکست قزاقستان/ شاگردان جوان هروی بر بام آسیا,  تیم جوان کومیته تیمی کشورمان با برتری قاطعانه مقابل قزاقستان برای نهمین بار قهرمان کومیته تیمی آسیا شد. ,
برگزاری مجمع فوق‌العاده فدراسیون دوومیدانی بدون رعایت اساسنامه+عکس, نامه برگزاری مجمع فوق‌العاده فدراسیون دوومیدانی، در فاصله ۷۲ ساعت تا برگزاری این مجمع برای اعضای آن ارسال شد. ,
